no,name,lat,lng
202,新竹市延平一段113巷往民富街(全),24.8084181,120.9658915
203,新竹市延平一段113巷往中和路全景,24.8016582,120.9560199
204,新竹市北大路452巷1弄(北極殿),24.8032664,120.9575196
205,新竹市經國二663巷(西雅集會所前),24.7999126,120.9587118
206,新竹市中山路452巷口,24.8040976,120.9578553
207,新竹市中山路344巷,24.7998185,120.9567865
208,新竹市北新民富往延平,24.7955904,120.9544721
209,新竹市中山四維往西大(99),24.7992541,120.9623974
210,新竹市中山路393巷內全景,24.8012442,120.9604584
211,新竹市四維路66號前全景,24.7948092,120.9529356
212,新竹市崧嶺路50巷與中山路,24.7951481,120.9547368
213,新竹市崧嶺路50巷內,24.8008602,120.9552547
214,新竹市中山路670巷口往橋,24.8014989,120.9590337
215,新竹市延平成功、成功往超商,24.81606,120.958393
216,新竹市延平成功、超商往成功,24.8056079,120.948826
217,新竹市延平成功、往延平路二段,24.8050786,120.9431341
218,新竹市延平成功往經國,24.8048063,120.9554787
219,新竹市南大路706巷與672巷6弄口全景,24.8047247,120.9534878
220,新竹市南大路672巷與672巷6弄口,24.8030841,120.9521142
221,新竹市南大路672巷2弄29號,24.8046035,120.9518122
222,新竹市南大路672巷2弄18號,24.8087668,120.959608
223,新竹市經國路484巷往南,24.7918378,120.9611047
224,新竹市延平路235巷口,24.7922031,120.9606116
225,新竹市延平路261巷7弄底,24.8029176,120.978555
226,新竹市延平路261巷2弄,24.7920827,120.9618051
227,新竹市經國中和往市區,24.8048063,120.9554787
228,新竹市中和路130巷23號往北新路,24.820537,120.965704
229,新竹市經國延平往竹光(車牌),24.8048063,120.9554787
230,新竹市經國延平往北(車牌),24.8048063,120.9554787
231,新竹市經國延平往北(全景),24.820537,120.965704
232,新竹市經國延平往南(車牌),24.820537,120.965704
233,新竹市經國延平往北大路(車牌),24.8073487,120.9555983
234,新竹市武陵路與湳中街口往北全景,24.8032229,120.9560016
235,新竹市武陵路照活動中心全景,24.8052291,120.972686
236,新竹市武陵路與湳中街口往北全景,24.820896,120.9747321
237,新竹市武陵路與湳中街口往南全景,24.8192785,120.9757087
238,新竹市湳雅鐵道往光華二街全景,24.820896,120.9747321
239,新竹市湳雅街與鐵道路二段口往武陵路(車牌),24.8194651,120.9672218
240,新竹市鐵道路二段與湳雅街口往湳雅所(車牌),24.820345,120.9744932
241,新竹市湳雅街156巷口全景,24.821872,120.9726575
242,新竹市湳雅街與176巷口全景,24.818464,120.971133
243,新竹市湳雅街176巷口全景,24.8196218,120.9728508
244,新竹市湳雅街219巷口全景,24.820537,120.965704
245,新竹市湳雅巡防辦公室1全景,24.8196218,120.9728508
246,新竹市湳雅街與鐵道路二段口往光華二街(車牌),24.8196218,120.9728508
247,新竹市湳雅巡守隊前全景,24.8002203,120.9841755
248,新竹市鐵道路二段110巷口全景,24.8199672,120.9707733
249,新竹市鐵道路二段與湳雅街口往金竹路(車牌),24.8200106,120.9743386
250,新竹市鐵道路二段與湳雅街口往金竹路(全景),24.82113,120.9786586
251,新竹市湳雅街150巷口全景,24.8217713,120.9738357
252,新竹市湳雅街173號前全景,24.8200302,120.9731992
253,新竹市湳雅巡防辦公室2全景,24.823991,120.972045
254,新竹市武陵路218巷,24.823991,120.972045
255,新竹市光華二街150巷37弄口全景,24.82113,120.9786586
256,新竹市光華二街108巷照巷口全景,24.8209697,120.9775128
257,新竹市光華二街108巷照巷底全景,24.8148428,120.9790246
258,新竹市光華二街72巷64弄口全景,24.8199771,120.9778015
259,新竹市鐵道路二段巷底全景,24.8199771,120.9778015
260,新竹市田美三街22巷21弄中全景,24.8236922,120.9698881
261,新竹市鐵道路二段與光華東一街口全景,24.8158523,120.9741135
262,新竹市經國路一段454巷40號前全景,24.8150549,120.9809217
263,新竹市光華東街光華一街口全景,24.8184499,120.9795671
264,新竹市武陵路245巷底全景,24.817576,120.977011
265,新竹市光華二街142巷制高點,24.817112,120.97559
266,新竹市光華二街133巷,24.8209697,120.9775128
267,新竹市光華二街150巷,24.8203143,120.9769802
268,新竹市光華二街142巷,24.8203671,120.978422
269,新竹市光華二街81巷10弄47號,24.8214088,120.9767827
270,新竹市光華二街81巷10弄47號照133巷,24.8200234,120.9768858
271,新竹市光華二街162巷底,24.8206282,120.9785137
272,新竹市光華二街150巷32弄內,24.8206282,120.9785137
273,新竹市光華二街150巷內,24.8197811,120.978507
274,新竹市光華二街80巷22弄11號,24.8213034,120.9779682
275,新竹市光華二街108巷7號,24.820362,120.9759092
276,新竹市光華二街108巷8號,24.820362,120.9759092
277,新竹市光華二街80巷22弄底,24.8177739,120.9758667
278,新竹市光華二街150巷74號,24.8200669,120.9783412
279,新竹市光華二街150巷往公道五565巷,24.8198435,120.961481
280,新竹市光華國中球型,24.8179926,120.9745666
281,新竹市光華東街102號往鐵道路,24.8180881,120.973787
282,新竹市光華東街102號往光華北,24.8179952,120.9748089
283,新竹市光華東街102號往光華東,24.8174585,120.9751318
284,新竹市光華東街102號往光華二,24.8193387,120.9793392
285,新竹市光華二街27號巷內,24.8171583,120.9777329
286,新竹市光華東街76巷口,24.8193836,120.9791142
287,新竹市光華東一街1號往光華東,24.8179952,120.9748089
288,新竹市光華一街2號往經國路,24.8156278,120.9746507
289,新竹市光華東光華南街口,24.8157789,120.9752687
290,新竹市光華東街22巷口,24.816145,120.9758717
291,新竹市光華南街18巷口往光華東街,24.817133,120.9763494
292,新竹市光華南街18巷11弄口,24.8161169,120.974799
293,新竹市光華東一街21號福正宮全景,24.81605,120.97388
294,新竹市田美三光華東一往鐵道,24.8177125,120.9635186
295,新竹市光華東一田美三往光華東,24.8183818,120.9633801
296,新竹市田美三往光華東一街口,24.8038346,120.9771847
297,新竹市東大路446巷351弄口往公道五,24.8038346,120.9771847
298,新竹市東大路446巷306號前往北,24.8311894,120.9553812
299,新竹市東大路446巷306號前往南,24.833881,120.947763
300,新竹市東大路446巷288號前,24.833881,120.947763
301,新竹市東大路446巷271弄內,24.8038346,120.9771847
